scorep_define_string    			SCOREP_String			string
SCOREP_DefineSourceFile 			SCOREP_SourceFile			source_file
SCOREP_DefineRegion     			SCOREP_Region			region
SCOREP_DefineMPICommunicator 		SCOREP_MPICommunicator		mpi_communicator
SCOREP_DefineMPIWindow       		SCOREP_MPIWindow			mpi_window
SCOREP_DefineMPICartesianTopology		SCOREP_MPICartesianTopology	mpi_cartesian_topology
SCOREP_DefineMPICartesianCoords		SCOREP_MPICartesianCoords		mpi_cartesian_coords
SCOREP_DefineCounterGroup         	SCOREP_CounterGroup		counter_group
SCOREP_DefineCounter              	SCOREP_Counter			counter
SCOREP_DefineIOFileGroup          	SCOREP_IOFileGroup		io_file_group
SCOREP_DefineIOFile               	SCOREP_IOFile			io_file
SCOREP_DefineMarkerGroup          	SCOREP_MarkerGroup		marker_group
SCOREP_DefineMarker               	SCOREP_Marker			marker
SCOREP_DefineParameter            	SCOREP_Parameter			parameter
SCOREP_DefineCallpath             	SCOREP_Callpath			callpath
SCOREP_DefineCallpathParameterInteger 	SCOREP_CallpathParameterInteger	callpath_parameter_integer
SCOREP_DefineCallpathParameterString	SCOREP_CallpathParameterString	callpath_parameter_string
